"id","name","short_description","parent_id","category","category_name","updated"
"bamboohr","BambooHR","Human resources software as a service",,"business","Business","2020-06-03T23:39:25.398Z"
"band","BAND","Social network for group communication",,"social","Social","2020-05-20T20:18:27.251Z"
"bandai_namco","Bandai Namco Entertainment","Game traffic by Bandai Namco",,"gaming","Gaming","2020-05-20T20:18:54.263Z"
"bandcamp","Bandcamp","Music bands and artists discovery service ",,"audio","Audio","2020-06-24T00:26:34.495Z"
"barrons","Barron's","American weekly news",,"news","News","2020-05-20T20:21:01.008Z"
"basecamp","Basecamp","Collaborate and project management web service",,"collaboration","Collaboration","2020-06-05T21:11:22.034Z"
"battle_bay","Battle Bay","Real-time ship battle game",,"gaming","Gaming","2020-05-20T20:22:36.369Z"
"battlefield","Battlefield","First-person shooter game",,"gaming","Gaming","2020-08-21T20:08:13.299Z"
"battlenet","Battle.net","Gaming, digital distribution and digital rights management platform",,"gaming","Gaming","2020-05-20T20:25:18.646Z"
"battle_warship","Battle Warship","Massive multiplayer real-time strategy game",,"gaming","Gaming","2020-05-20T20:28:24.768Z"
"battleye","BattlEye","Anti-cheat game protection system ",,"gaming","Gaming","2020-05-20T20:28:50.773Z"
"bazaar","Bazaar","Project version control system",,"productivity","Productivity","2020-05-30T20:03:22.484Z"
"bazaarvoice","Bazaarvoice","Analytic and marketing web service",,"advertising","Advertising","2020-09-15T17:19:46.611Z"
"bbc_iplayer","BBC iPlayer","Internet streaming, television and radio service by BBC",,"video","Video","2020-05-20T20:29:49.713Z"
"bbcnews","BBC News","British Broadcasting Corporation news",,"news","News","2020-05-20T20:30:24.430Z"
"bbgame","BBGame","Mobile game traffic",,"gaming","Gaming","2020-05-20T20:30:36.826Z"
"bbm","BBM","Proprietary instant messenger and video application",,"messaging","Messaging","2020-05-20T20:31:02.947Z"
"bbm_call","BBM Call","Voice and video calling by BlackBerry","bbm","messaging","Messaging","2020-08-14T00:06:27.322Z"
"beachbody","Beachbody On Demand","On demand fitness streaming service",,"health","Health & Fitness","2020-08-07T18:57:10.812Z"
"beamyourscreen","BeamYourScreen","Desktop sharing and online collaboration service",,"remoting","Remoting","2020-05-20T20:31:41.119Z"
"bebo","Bebo","Social network",,"social","Social","2020-05-20T20:32:01.500Z"
"beeswax","Beeswax","Mobile ad tracker and platform",,"advertising","Advertising","2020-06-25T21:47:33.103Z"
"beetalk","BeeTalk","Location based messaging app",,"messaging","Messaging","2020-05-20T20:32:16.756Z"
"behance","Behance","Self-promotion, online portfolio service",,"social","Social","2020-06-03T22:34:58.759Z"
"belkin","Belkin","Traffic related to Belkin devices",,"device","Smart Device","2020-07-08T16:17:55.037Z"
"bellmedia","Bell Media","Canadian television, radio and digital media",,"video","Video","2020-05-20T20:36:40.456Z"
"bestline_vpn","Bestline VPN","Multi protocol Virtual Private Network.",,"remoting","Remoting","2020-05-25T23:48:32.605Z"
"best_nine","Best Nine","Photo aggregator app",,"social","Social","2020-05-20T20:37:54.918Z"
"bethesda","Bethesda Softworks","Video game publisher famous for The Elder Scrolls Online, Fallout 4, etc.",,"gaming","Gaming","2020-08-14T21:47:02.537Z"
"betternet","Betternet","Multi-protocol Virtual Private Network",,"remoting","Remoting","2020-05-20T20:38:15.729Z"
"bfcp","BFCP","Protocol for sharing presentations and video conversations",,"messaging","Messaging","2020-05-20T20:38:51.462Z"
"bfd","BFD","Bidirectional Forwarding Detection Protocol for detecting faults between forwarding engines",,"networking","Networking","2020-05-20T20:39:41.272Z"
"bgmp","BGMP","Border Gateway Multicast Protocol",,"networking","Networking","2020-05-20T20:41:42.651Z"
